teacher_count,condition,train_seed,eval_domain,eval_seed,success_rate,mean_final_position_norm,mean_final_velocity_norm,mean_final_angular_velocity_norm,invalid_or_nan_rate,mean_action_norm,skipped_updates,training_nan_inf,checkpoint
16,diff_init,1,narrow,10001,0,3.94072,5.38906,1.66087,0,0.369165,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/diff_init/teachers_16/seed_1/checkpoint.h5
16,diff_init,1,narrow,10002,0,3.92421,5.35132,1.73769,0,0.372435,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/diff_init/teachers_16/seed_1/checkpoint.h5
16,diff_init,1,medium,10000,0,3.60448,4.81675,1.54863,0,0.35838,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/diff_init/teachers_16/seed_1/checkpoint.h5
16,diff_init,1,medium,10001,0,3.70319,4.98072,1.68936,0,0.359344,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/diff_init/teachers_16/seed_1/checkpoint.h5
16,diff_init,1,medium,10002,0,3.55346,4.84752,1.63162,0,0.353079,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/diff_init/teachers_16/seed_1/checkpoint.h5
16,scratch,2,fixed,10000,0,7.6625,12.1556,14.7351,0,0.112441,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/scratch/teachers_16/seed_2/checkpoint.h5
16,scratch,2,fixed,10001,0,7.55163,12.0554,15.1113,0,0.117244,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/scratch/teachers_16/seed_2/checkpoint.h5
16,scratch,2,fixed,10002,0,7.47936,11.881,14.4303,0,0.114068,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/scratch/teachers_16/seed_2/checkpoint.h5
16,scratch,2,narrow,10000,0,7.53394,12.0541,14.5073,0,0.109459,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/scratch/teachers_16/seed_2/checkpoint.h5
16,scratch,2,narrow,10001,0,7.4882,11.9937,14.0961,0,0.110592,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/scratch/teachers_16/seed_2/checkpoint.h5
16,scratch,2,narrow,10002,0,7.56166,12.0828,13.3634,0,0.1107,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/scratch/teachers_16/seed_2/checkpoint.h5
16,scratch,2,medium,10000,0,7.47506,12.0153,14.0944,0,0.110206,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/scratch/teachers_16/seed_2/checkpoint.h5
16,scratch,2,medium,10001,0,7.43514,11.9365,13.6083,0,0.112566,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/scratch/teachers_16/seed_2/checkpoint.h5
16,scratch,2,medium,10002,0,7.23739,11.6643,13.8254,0,0.115198,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/scratch/teachers_16/seed_2/checkpoint.h5
16,diff_init,2,fixed,10000,0,4.23874,5.81128,1.59458,0,0.377392,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/diff_init/teachers_16/seed_2/checkpoint.h5
16,diff_init,2,fixed,10001,0,4.14228,5.72481,1.52426,0,0.371031,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/diff_init/teachers_16/seed_2/checkpoint.h5
16,diff_init,2,fixed,10002,0,4.12327,5.69819,1.56425,0,0.370429,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/diff_init/teachers_16/seed_2/checkpoint.h5
