group_key,size_mass_bin,thrust_to_weight_bin,torque_to_inertia_bin,motor_delay_bin,curve_shape_bin,sample_count,loss_mean,success_mean,action_saturation_mean
257,1,0,0,0,1,6250,0.0478539,0.97776,0.013195
258,1,0,0,0,2,6250,0.0527705,0.9672,0.0150775
259,1,0,0,0,3,6250,0.0566232,0.948,0.0167225
260,1,0,0,1,0,6250,0.0516773,0.97472,0.0170625
261,1,0,0,1,1,6250,0.0540941,0.9776,0.018275
262,1,0,0,1,2,6250,0.0564209,0.96496,0.020155
263,1,0,0,1,3,6250,0.0618327,0.94496,0.02214
264,1,0,0,2,0,6250,0.0600606,0.97168,0.0196725
265,1,0,0,2,1,6250,0.0632563,0.97328,0.02251
266,1,0,0,2,2,6250,0.0661245,0.96,0.0255475
267,1,0,0,2,3,6250,0.0706113,0.93216,0.028905
268,1,0,0,3,0,6250,0.0731664,0.96608,0.022345
269,1,0,0,3,1,6250,0.074248,0.968,0.0255225
270,1,0,0,3,2,6250,0.0777678,0.95264,0.029765
271,1,0,0,3,3,6250,0.0817852,0.9216,0.0337875
272,1,0,1,0,0,6250,0.0642908,0.97984,0.01426
273,1,0,1,0,1,6250,0.0586144,0.98384,0.0141075
274,1,0,1,0,2,6250,0.0773786,0.96656,0.014785
275,1,0,1,0,3,6250,0.0877655,0.94624,0.0161975
276,1,0,1,1,0,6250,0.0679432,0.97808,0.0199775
277,1,0,1,1,1,6250,0.0587755,0.97792,0.0200625
278,1,0,1,1,2,6250,0.0706999,0.96736,0.02084
279,1,0,1,1,3,6250,0.0800024,0.94784,0.0236475
280,1,0,1,2,0,6250,0.0675257,0.97728,0.02447
281,1,0,1,2,1,6250,0.0754566,0.97392,0.0264175
282,1,0,1,2,2,6250,0.0728082,0.95856,0.028595
283,1,0,1,2,3,6250,0.0762632,0.93072,0.032045
284,1,0,1,3,0,6250,0.0915117,0.96224,0.0326075
285,1,0,1,3,1,6250,0.0983977,0.964,0.033975
286,1,0,1,3,2,6250,0.0871009,0.9488,0.03665
287,1,0,1,3,3,6250,0.0936832,0.91696,0.0395925
288,1,0,2,0,0,6250,0.0919046,0.98224,0.0195675
289,1,0,2,0,1,6250,0.126993,0.98064,0.01964
290,1,0,2,0,2,6250,0.13318,0.97376,0.0207175
291,1,0,2,0,3,6250,0.138833,0.9536,0.022685
292,1,0,2,1,0,6250,0.101045,0.98064,0.0280475
293,1,0,2,1,1,6250,0.0897801,0.97648,0.0271225
294,1,0,2,1,2,6250,0.103993,0.96992,0.02892
295,1,0,2,1,3,6250,0.126698,0.94176,0.0307225
296,1,0,2,2,0,6250,0.0872491,0.9704,0.03498
297,1,0,2,2,1,6250,0.102283,0.97008,0.0361975
298,1,0,2,2,2,6250,0.141492,0.95776,0.0388625
299,1,0,2,2,3,6250,0.112575,0.93232,0.040795
300,1,0,2,3,0,6250,0.10882,0.96192,0.044415
301,1,0,2,3,1,6250,0.103702,0.96144,0.0461225
302,1,0,2,3,2,6250,0.127703,0.9432,0.04898
303,1,0,2,3,3,6250,0.114502,0.91552,0.0519675
304,1,0,3,0,0,6250,0.202923,0.97776,0.025295
305,1,0,3,0,1,6250,0.261715,0.9816,0.0259225
306,1,0,3,0,2,6250,0.227087,0.96928,0.0280525
307,1,0,3,0,3,6250,0.253834,0.94928,0.029505
308,1,0,3,1,0,6250,0.174424,0.97744,0.03586
309,1,0,3,1,1,6250,0.179367,0.97344,0.03555
310,1,0,3,1,2,6250,0.223666,0.95952,0.0378325
311,1,0,3,1,3,6250,0.21253,0.9392,0.03896
312,1,0,3,2,0,6250,0.162188,0.97184,0.046115
313,1,0,3,2,1,6250,0.176816,0.96432,0.04672
314,1,0,3,2,2,6250,0.195195,0.95472,0.0495625
315,1,0,3,2,3,6250,0.166618,0.92528,0.0510175
316,1,0,3,3,0,6250,0.164781,0.9616,0.057105
317,1,0,3,3,1,6250,0.16699,0.95552,0.0591475
318,1,0,3,3,2,6250,0.163145,0.94496,0.06208
319,1,0,3,3,3,6250,0.165894,0.90976,0.0644725
320,1,1,0,0,0,6250,0.0541302,0.93792,0.01258
321,1,1,0,0,1,6250,0.0498911,0.964,0.01182
322,1,1,0,0,2,6250,0.0464828,0.97296,0.0114375
323,1,1,0,0,3,6250,0.0487613,0.96208,0.01284
324,1,1,0,1,0,6250,0.0581613,0.94384,0.015155
325,1,1,0,1,1,6250,0.0528088,0.96496,0.0156325
326,1,1,0,1,2,6250,0.051429,0.96848,0.0164
327,1,1,0,1,3,6250,0.0541718,0.9592,0.0175575
328,1,1,0,2,0,6250,0.067442,0.93744,0.0186575
329,1,1,0,2,1,6250,0.060608,0.96224,0.01811
330,1,1,0,2,2,6250,0.0599591,0.96272,0.019965
331,1,1,0,2,3,6250,0.0625536,0.95296,0.0226
332,1,1,0,3,0,6250,0.0791704,0.93552,0.02016
333,1,1,0,3,1,6250,0.0730418,0.96032,0.0206075
334,1,1,0,3,2,6250,0.07241,0.96256,0.0235925
